t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.616814,0.383186,nan,0.000000,-0.233627,-0.133675,0.052938
0.563052,0.436948,nan,0.000000,-0.126104,-0.133675,0.052938
0.572804,0.427196,nan,0.000000,-0.145608,-0.133675,0.052938
0.568554,0.431446,nan,0.000000,-0.137108,-0.133675,0.052938
0.580106,0.419894,nan,0.000000,-0.160212,-0.133675,0.052938
0.547129,0.452871,nan,0.000000,-0.094258,-0.133675,0.052938
0.582127,0.417873,nan,0.000000,-0.164254,-0.133675,0.052938
0.520108,0.479892,nan,0.000000,-0.040216,-0.133675,0.052938
0.555456,0.444544,nan,0.000000,-0.110911,-0.133675,0.052938
0.544465,0.455535,nan,0.000000,-0.088931,-0.133675,0.052938
0.545066,0.454934,nan,0.000000,-0.090132,-0.133675,0.052938
0.540611,0.459389,nan,0.000000,-0.081223,-0.133675,0.052938
0.586537,0.413463,nan,0.000000,-0.173074,-0.133675,0.052938
0.562408,0.437592,nan,0.000000,-0.124815,-0.133675,0.052938
0.563569,0.436431,nan,0.000000,-0.127139,-0.133675,0.052938
0.605442,0.394558,nan,0.000000,-0.210885,-0.133675,0.052938
0.561488,0.438512,nan,0.000000,-0.122976,-0.133675,0.052938
0.568465,0.431535,nan,0.000000,-0.136931,-0.133675,0.052938
0.510459,0.489541,nan,0.000000,-0.020918,-0.133675,0.052938
0.583137,0.416863,nan,0.000000,-0.166274,-0.133675,0.052938
0.563681,0.436319,nan,0.000000,-0.127362,-0.133675,0.052938
0.552606,0.447394,nan,0.000000,-0.105211,-0.133675,0.052938
0.563225,0.436775,nan,0.000000,-0.126450,-0.133675,0.052938
0.570396,0.429604,nan,0.000000,-0.140792,-0.133675,0.052938
0.581279,0.418721,nan,0.000000,-0.162558,-0.133675,0.052938
0.600381,0.399619,nan,0.000000,-0.200761,-0.133675,0.052938
0.588569,0.411431,nan,0.000000,-0.177137,-0.133675,0.052938
0.535064,0.464936,nan,0.000000,-0.070128,-0.133675,0.052938
0.562915,0.437085,nan,0.000000,-0.125830,-0.133675,0.052938
0.541781,0.458219,nan,0.000000,-0.083562,-0.133675,0.052938
0.531983,0.468017,nan,0.000000,-0.063965,-0.133675,0.052938
0.556895,0.443105,nan,0.000000,-0.113790,-0.133675,0.052938
0.541651,0.458349,nan,0.000000,-0.083303,-0.133675,0.052938
0.606916,0.393084,nan,0.000000,-0.213831,-0.133675,0.052938
0.566342,0.433658,nan,0.000000,-0.132684,-0.133675,0.052938
0.561651,0.438349,nan,0.000000,-0.123302,-0.133675,0.052938
0.537806,0.462194,nan,0.000000,-0.075612,-0.133675,0.052938
0.522865,0.477135,nan,0.000000,-0.045730,-0.133675,0.052938
0.586785,0.413215,nan,0.000000,-0.173570,-0.133675,0.052938
0.589349,0.410651,nan,0.000000,-0.178699,-0.133675,0.052938
0.562869,0.437131,nan,0.000000,-0.125737,-0.133675,0.052938
0.557861,0.442139,nan,0.000000,-0.115722,-0.133675,0.052938
0.564015,0.435985,nan,0.000000,-0.128030,-0.133675,0.052938
0.563156,0.436844,nan,0.000000,-0.126313,-0.133675,0.052938
0.557889,0.442111,nan,0.000000,-0.115779,-0.133675,0.052938
