t1_baseReward, t2_baseReward, ssd, changepoint, rewardDelta, muRewardDelta, sigma
0.598230,0.401770,nan,0.000000,-0.196459,-0.203079,0.053989
0.569603,0.430397,nan,0.000000,-0.139207,-0.203079,0.053989
0.592728,0.407272,nan,0.000000,-0.185455,-0.203079,0.053989
0.593765,0.406235,nan,0.000000,-0.187531,-0.203079,0.053989
0.590829,0.409171,nan,0.000000,-0.181657,-0.203079,0.053989
0.582460,0.417540,nan,0.000000,-0.164919,-0.203079,0.053989
0.574149,0.425851,nan,0.000000,-0.148298,-0.203079,0.053989
0.633905,0.366095,nan,0.000000,-0.267811,-0.203079,0.053989
0.655374,0.344626,nan,0.000000,-0.310748,-0.203079,0.053989
0.603408,0.396592,nan,0.000000,-0.206815,-0.203079,0.053989
0.601210,0.398790,nan,0.000000,-0.202420,-0.203079,0.053989
0.590789,0.409211,nan,0.000000,-0.181579,-0.203079,0.053989
0.591708,0.408292,nan,0.000000,-0.183415,-0.203079,0.053989
0.591017,0.408983,nan,0.000000,-0.182033,-0.203079,0.053989
0.630651,0.369349,nan,0.000000,-0.261302,-0.203079,0.053989
0.614965,0.385035,nan,0.000000,-0.229930,-0.203079,0.053989
0.612195,0.387805,nan,0.000000,-0.224391,-0.203079,0.053989
0.608958,0.391042,nan,0.000000,-0.217916,-0.203079,0.053989
0.596018,0.403982,nan,0.000000,-0.192036,-0.203079,0.053989
0.611910,0.388090,nan,0.000000,-0.223819,-0.203079,0.053989
0.598554,0.401446,nan,0.000000,-0.197108,-0.203079,0.053989
0.614935,0.385065,nan,0.000000,-0.229871,-0.203079,0.053989
0.581847,0.418153,nan,0.000000,-0.163694,-0.203079,0.053989
0.638732,0.361268,nan,0.000000,-0.277463,-0.203079,0.053989
0.597695,0.402305,nan,0.000000,-0.195390,-0.203079,0.053989
0.605104,0.394896,nan,0.000000,-0.210208,-0.203079,0.053989
0.608478,0.391522,nan,0.000000,-0.216957,-0.203079,0.053989
0.585469,0.414531,nan,0.000000,-0.170939,-0.203079,0.053989
0.646002,0.353998,nan,0.000000,-0.292003,-0.203079,0.053989
0.575564,0.424436,nan,0.000000,-0.151127,-0.203079,0.053989
0.594446,0.405554,nan,0.000000,-0.188892,-0.203079,0.053989
0.619679,0.380321,nan,0.000000,-0.239357,-0.203079,0.053989
0.616149,0.383851,nan,0.000000,-0.232298,-0.203079,0.053989
0.671386,0.328614,nan,0.000000,-0.342771,-0.203079,0.053989
0.673250,0.326750,nan,0.000000,-0.346500,-0.203079,0.053989
0.607090,0.392910,nan,0.000000,-0.214179,-0.203079,0.053989
0.576258,0.423742,nan,0.000000,-0.152516,-0.203079,0.053989
0.624745,0.375255,nan,0.000000,-0.249490,-0.203079,0.053989
0.635775,0.364225,nan,0.000000,-0.271550,-0.203079,0.053989
0.593923,0.406077,nan,0.000000,-0.187846,-0.203079,0.053989
0.606415,0.393585,nan,0.000000,-0.212830,-0.203079,0.053989
0.574221,0.425779,nan,0.000000,-0.148442,-0.203079,0.053989
0.628376,0.371624,nan,0.000000,-0.256753,-0.203079,0.053989
0.567089,0.432911,nan,0.000000,-0.134178,-0.203079,0.053989
0.624700,0.375300,nan,0.000000,-0.249401,-0.203079,0.053989
0.608509,0.391491,nan,0.000000,-0.217017,-0.203079,0.053989
0.576056,0.423944,nan,0.000000,-0.152113,-0.203079,0.053989
0.630763,0.369237,nan,0.000000,-0.261526,-0.203079,0.053989
0.575975,0.424025,nan,0.000000,-0.151950,-0.203079,0.053989
0.561823,0.438177,nan,0.000000,-0.123646,-0.203079,0.053989
0.603840,0.396160,nan,0.000000,-0.207680,-0.203079,0.053989
0.636502,0.363498,nan,0.000000,-0.273005,-0.203079,0.053989
0.589047,0.410953,nan,0.000000,-0.178094,-0.203079,0.053989
0.611664,0.388336,nan,0.000000,-0.223329,-0.203079,0.053989
0.593728,0.406272,nan,0.000000,-0.187457,-0.203079,0.053989
0.586002,0.413998,nan,0.000000,-0.172005,-0.203079,0.053989
0.592867,0.407133,nan,0.000000,-0.185734,-0.203079,0.053989
0.564059,0.435941,nan,0.000000,-0.128117,-0.203079,0.053989
0.560209,0.439791,nan,0.000000,-0.120418,-0.203079,0.053989
0.617043,0.382957,nan,0.000000,-0.234086,-0.203079,0.053989
0.621266,0.378734,nan,0.000000,-0.242532,-0.203079,0.053989
0.584336,0.415664,nan,0.000000,-0.168673,-0.203079,0.053989
0.584836,0.415164,nan,0.000000,-0.169672,-0.203079,0.053989
0.612875,0.387125,nan,0.000000,-0.225749,-0.203079,0.053989
0.654636,0.345364,nan,0.000000,-0.309273,-0.203079,0.053989
0.621302,0.378698,nan,0.000000,-0.242605,-0.203079,0.053989
0.571219,0.428781,nan,0.000000,-0.142437,-0.203079,0.053989
0.628228,0.371772,nan,0.000000,-0.256455,-0.203079,0.053989
0.595487,0.404513,nan,0.000000,-0.190974,-0.203079,0.053989
0.637980,0.362020,nan,0.000000,-0.275959,-0.203079,0.053989
0.569249,0.430751,nan,0.000000,-0.138497,-0.203079,0.053989
0.623882,0.376118,nan,0.000000,-0.247763,-0.203079,0.053989
0.643088,0.356912,nan,0.000000,-0.286177,-0.203079,0.053989
0.610057,0.389943,nan,0.000000,-0.220113,-0.203079,0.053989
0.616326,0.383674,nan,0.000000,-0.232652,-0.203079,0.053989
0.614366,0.385634,nan,0.000000,-0.228732,-0.203079,0.053989
0.620443,0.379557,nan,0.000000,-0.240887,-0.203079,0.053989
0.586348,0.413652,nan,0.000000,-0.172697,-0.203079,0.053989
0.581767,0.418233,nan,0.000000,-0.163533,-0.203079,0.053989
0.609440,0.390560,nan,0.000000,-0.218880,-0.203079,0.053989
0.572265,0.427735,nan,0.000000,-0.144530,-0.203079,0.053989
0.572367,0.427633,nan,0.000000,-0.144735,-0.203079,0.053989
0.611153,0.388847,nan,0.000000,-0.222306,-0.203079,0.053989
0.631911,0.368089,nan,0.000000,-0.263822,-0.203079,0.053989
0.665849,0.334151,nan,0.000000,-0.331698,-0.203079,0.053989
0.611350,0.388650,nan,0.000000,-0.222701,-0.203079,0.053989
0.531884,0.468116,nan,0.000000,-0.063769,-0.203079,0.053989
0.610986,0.389014,nan,0.000000,-0.221973,-0.203079,0.053989
0.579650,0.420350,nan,0.000000,-0.159301,-0.203079,0.053989
0.610318,0.389682,nan,0.000000,-0.220635,-0.203079,0.053989
0.619344,0.380656,nan,0.000000,-0.238688,-0.203079,0.053989
0.605326,0.394674,nan,0.000000,-0.210652,-0.203079,0.053989
0.611786,0.388214,nan,0.000000,-0.223571,-0.203079,0.053989
0.608277,0.391723,nan,0.000000,-0.216555,-0.203079,0.053989
0.567413,0.432587,nan,0.000000,-0.134827,-0.203079,0.053989
0.632231,0.367769,nan,0.000000,-0.264462,-0.203079,0.053989
0.598936,0.401064,nan,0.000000,-0.197872,-0.203079,0.053989
0.661436,0.338564,nan,0.000000,-0.322873,-0.203079,0.053989
0.632109,0.367891,nan,0.000000,-0.264217,-0.203079,0.053989
0.614084,0.385916,nan,0.000000,-0.228167,-0.203079,0.053989
0.590479,0.409521,nan,0.000000,-0.180958,-0.203079,0.053989
0.623100,0.376900,nan,0.000000,-0.246200,-0.203079,0.053989
0.641881,0.358119,nan,0.000000,-0.283763,-0.203079,0.053989
0.592258,0.407742,nan,0.000000,-0.184515,-0.203079,0.053989
0.558768,0.441232,nan,0.000000,-0.117537,-0.203079,0.053989
0.602674,0.397326,nan,0.000000,-0.205347,-0.203079,0.053989
0.626550,0.373450,nan,0.000000,-0.253100,-0.203079,0.053989
0.612623,0.387377,nan,0.000000,-0.225246,-0.203079,0.053989
0.599616,0.400384,nan,0.000000,-0.199233,-0.203079,0.053989
0.573050,0.426950,nan,0.000000,-0.146099,-0.203079,0.053989
0.333968,0.666032,nan,1.000000,0.332065,0.339506,0.053989
0.372208,0.627792,nan,0.000000,0.255585,0.339506,0.053989
0.316728,0.683272,nan,0.000000,0.366543,0.339506,0.053989
0.304913,0.695087,nan,0.000000,0.390173,0.339506,0.053989
0.341784,0.658216,nan,0.000000,0.316432,0.339506,0.053989
0.331981,0.668019,nan,0.000000,0.336037,0.339506,0.053989
0.333629,0.666371,nan,0.000000,0.332742,0.339506,0.053989
0.343756,0.656244,nan,0.000000,0.312488,0.339506,0.053989
0.345521,0.654479,nan,0.000000,0.308957,0.339506,0.053989
0.318250,0.681750,nan,0.000000,0.363499,0.339506,0.053989
0.345528,0.654472,nan,0.000000,0.308944,0.339506,0.053989
0.355634,0.644366,nan,0.000000,0.288731,0.339506,0.053989
